id,nội dung câu hỏi,Bloom_Label
49,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Cụm từ di dưỡng tinh thần trong đoạn trích được hiểu là,Remember
50,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Điểm giống nhau giữa Chủ Tịch Hồ Chí Minh với Nguyễn Trãi Nguyễn Bỉnh Khiêm được nhắc trong văn bản là,Understand
51,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Từ Hán Việt nào dưới đây không được nhắc tới trong đoạn trích trên,Understand
52,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Xác định thể loại của văn bản Phong cách Hồ Chí Minh,Understand
53,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Biện pháp tu từ nổi bật trong đoạn văn trên là,Understand
54,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Ở phần trích trên tác giả đã cho thấy vẻ đẹp của phong cách Hồ Chí Minh được kết hợp hài hòa bởi những yếu tố nào,Remember
55,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Phép liên kết được sử dụng trong câu 1 và 2 là,Understand
56,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Đoạn trích trên gửi gắm bài học nào cho giới trẻ hiện nay,Understand
57,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Theo quan điểm của tác giả đoạn trích nét phong cách nổi bật của Hồ Chí Minh là gì,Remember
58,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Phương thức biểu đạt chính của đoạn trích trên là,Understand
59,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Đoạn văn sau tác giả đã sử dụng phép liên kết nào Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga Và Người đã làm nhiều nghề,Remember
60,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Xác định phép tu từ nổi bật được sử dụng trong đoạn văn Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga Và Người đã làm nhiều nghề,Understand
61,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Qua đoạn trích trên em học tập được những gì từ cách tiếp thu văn hóa các nước của Bác,Understand
62,Tác giả của bài Phong cách Hồ Chí Minh là ai,Remember
63,Phong cách của Hồ Chí Minh là sự kết hợp giữa,Understand
64,Vì sao Hồ Chủ tịch lại có vốn văn hóa sâu rộng,Understand
65,Văn bản này thuộc thể loại nào,Remember
66,Lối sống rất bình dị rất Việt Nam rất phương Đông của Bác được thể hiện như thế nào,Understand
67,Lối sống của Bác là sự kết hợp giữa giản dị và thanh cao vì sao,Understand
68,Trong quá trình tiếp thu tinh hoa văn hóa nước ngoài Người tiếp thu một cách có chọn lọc không ảnh hưởng thụ động biết tiếp thu cái hay cái đẹp phê phán hạn chế tiêu cực đúng hay sai,Apply
69,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,Apply
70,Trong bài viết tác giả cho rằng Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống Theo em cụm từ quan niệm thẩm mĩ là gì,Remember
71,Trong bài viết để làm nổi bật vẻ đẹp của phong cách Hồ Chí Minh tác giả không sử dụng biện pháp nghệ thuật nào,Remember
72,Trong các từ sau từ nào không phải là từ Hán Việt,Remember
73,Trong đoạn văn sau tác giả sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là một lối sống thanh cao một cách di dưỡng tinh thần một quan niệm về thẩm mĩ cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,Remember
74,Nhận định nào không phải nguyên nhân của các trường hợp không tuân thủ phương châm hội thoại,Understand
75,Các câu tục ngữ sau phù hợp với phương châm hội thoại nào trong giao tiếp 1 Nói có sách mách có chứng 2 Biết thưa thì thốt 3 Không biết dựa cột mà nghe,Understand
76,Nói giảm nói tránh là phép tu từ liên quan đến phương châm hội thoại nào,Analyze
77,Xác định phương châm hội thoại của câu tục ngữ Lời nói chẳng mất tiền mua Lựa lời mà nói cho vừa lòng nhau,Understand
78,Câu Cô ấy nhìn tôi chằm chằm bằng đôi mắt vi phạm phương châm nào,Understand
79,Phương châm quan hệ nào được thể hiện trong đoạn trích sau Về đến nhà A Phủ lẳng vai ném nửa con bò xuống gốc đào trước cửa Pá Tra bước ra hỏi Mất mấy con bò A Phủ trả lời tự nhiên Tôi về lấy súng thế nào cũng bắn được Con hổ này to lắm,Understand
80,Đọc truyện cười sau và trả lời câu hỏi HỎI THĂM SƯ Một anh học trò gặp một nhà sư dọc đường anh thân mật hỏi thăm A Di Đà Phật Sư ông vẫn khỏe chứ Được mấy cháu rồi Sư đáp Đã tu hành thì làm gì có vợ mà hỏi mấy con Thế sư ông già có chết không Ai già lại chẳng chết Thế sau này lấy đâu ra sư con Truyện cười dân gian Việt Nam,Understand
81,Để không vi phạm các phương châm hội thoại cần làm gì,Understand
82,Câu trả lời trong đoạn hội thoại sau vi phạm phương châm hội thoại nào Lan hỏi Bình Cậu có biết trường đại học Sư phạm Hà Nội ở đâu không Thì ở Hà Nội chứ ở đâu,Understand
83,Chương trình lớp 9 em được học mấy phương châm hội thoại,Understand
84,Phương châm về lượng là gì,Remember
85,Thế nào là phương châm về chất,Understand
86,Phương châm quan hệ là gì,Remember
87,Câu thành ngữ nói nhăng nói cuội phản ánh phương châm hội thoại nào,Understand
88,Câu thành ngữ ăn ốc nói mò liên quan tới phương châm hội thoại nào,Understand
89,Thành ngữ nói đơm nói đặt liên quan tới phương châm hội thoại,Understand
90,Thế nào là phương châm về lượng,Understand
91,Thế nào là phương châm về chất,Understand
92,Thành ngữ nói đơm nói đặt liên quan tới phương châm hội thoại,Understand
93,Câu Chú chó nghiệp vụ đang ngửi mọi thứ bằng chiếc mũi của nó vi phạm phương châm nào,Understand
