id,question,syntax_depth
20,Lối sống của Bác là sự kết hợp giữa giản dị và thanh cao vì sao,5
21,Trong quá trình tiếp thu tinh hoa văn hóa nước ngoài Người tiếp thu một cách có chọn lọc không ảnh hưởng thụ động biết tiếp thu cái hay cái đẹp phê phán hạn chế tiêu cực đúng hay sai,14
22,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,5
23,Tác giả của bài Phong cách Hồ Chí Minh là ai,5
24,Phong cách của Hồ Chí Minh là sự kết hợp giữa,4
25,Vì sao Hồ Chủ tịch lại có vốn văn hóa sâu rộng,3
26,Văn bản này thuộc thể loại nào,3
27,Lối sống rất bình dị rất Việt Nam rất phương Đông của Bác được thể hiện như thế nào,5
28,Phong cách của Hồ Chí Minh là sự kết hợp giữa,4
29,Tác giả của bài Phong cách Hồ Chí Minh là ai,5
30,Vấn đề chủ yếu được tác giả nói tới trong văn bản Phong cách Hồ Chí Minh là gì,4
31,Văn bản này thuộc thể loại nào,3
32,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,5
33,Em hiểu từ phong cách trong phong cách Hồ Chí Minh có nghĩa là gì,6
34,Để làm nổi bật lối sống rất giản dị của Hồ Chí Minh tác giả đã sử dụng phương thức lập luận nào,5
35,Trong bài viết tác giả cho rằng Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống Theo em cụm từ quan niệm thẩm mĩ là gì,5
36,Trong bài viết để làm nổi bật vẻ đẹp của phong cách Hồ Chí Minh tác giả không sử dụng biện pháp nghệ thuật nào,6
37,Văn bản Phong cách Hồ Chí Minh sử dụng phương thức biểu đạt chính là gì,5
38,Để viết mở bài phân tích văn bản Phong cách Hồ Chí Minh cần đảm bảo ý nào sau đây,8
39,Vì sao Hồ Chủ tịch lại có vốn văn hóa sâu rộng,3
41,Ý nào nói đúng nhất những phương diện thể hiện lối sống giản dị của chủ tịch Hồ Chí Minh,6
42,Trong bài viết Phong cách Hồ Chí Minh  tác giả so sánh lối sống của Bác Hồ với lối sống của những ai,7
43,Lối sống của Bác là sự kết hợp giữa giản dị và thanh cao vì sao,5
44,Trong đoạn văn sau tác giả sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là một lối sống thanh cao một cách di dưỡng tinh thần một quan niệm về thẩm mĩ cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,14
45,Bài học rút ra từ phẩm chất của Bác qua văn bản Phong cách Hồ Chí Minh là gì,7
46,Tại sao tác giả lại gọi Bác là một nhân cách rất Việt Nam,4
47,Đọc đoạn trích sau và trả lời câu hỏi  Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9  tập một Xác định phương thức biểu đạt chính được sử dụng trong đoạn văn trên,34
48,Đọc đoạn trích sau và trả lời câu hỏi  Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9  tập một Đoạn trích trên được trích trong văn bản của tác giả nào,35
49,Đọc đoạn trích sau và trả lời câu hỏi  Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9  tập một Cụm từ di dưỡng tinh thần trong đoạn trích được hiểu là,34
50,Đọc đoạn trích sau và trả lời câu hỏi  Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9  tập một Điểm giống nhau giữa Chủ Tịch Hồ Chí Minh với Nguyễn Trãi Nguyễn Bỉnh Khiêm được nhắc trong văn bản là,35
51,Đọc đoạn trích sau và trả lời câu hỏi  Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9  tập một Từ Hán Việt nào dưới đây không được nhắc tới trong đoạn trích trên,34
52,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh  Lê Anh Trà SGK Ngữ văn 9  tập một Xác định thể loại của văn bản Phong cách Hồ Chí Minh,16
53,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh  Lê Anh Trà SGK Ngữ văn 9  tập một Biện pháp tu từ nổi bật trong đoạn văn trên là,13
54,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh  Lê Anh Trà SGK Ngữ văn 9  tập một Ở phần trích trên tác giả đã cho thấy vẻ đẹp của phong cách Hồ Chí Minh được kết hợp hài hòa bởi những yếu tố nào,13
55,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh  Lê Anh Trà SGK Ngữ văn 9  tập một Phép liên kết được sử dụng trong câu 1 và 2 là,16
56,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh  Lê Anh Trà SGK Ngữ văn 9  tập một Đoạn trích trên gửi gắm bài học nào cho giới trẻ hiện nay,15
57,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh  Lê Anh Trà  in trong cuốn Hồ Chí Minh và văn hóa Việt Nam  1990 Theo quan điểm của tác giả đoạn trích nét phong cách nổi bật của Hồ Chí Minh là gì,40
58,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh  Lê Anh Trà  in trong cuốn Hồ Chí Minh và văn hóa Việt Nam  1990 Phương thức biểu đạt chính của đoạn trích trên là,39
59,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh  Lê Anh Trà  in trong cuốn Hồ Chí Minh và văn hóa Việt Nam  1990 Đoạn văn sau tác giả đã sử dụng phép liên kết nào  Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga Và Người đã làm nhiều nghề,53
60,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh  Lê Anh Trà  in trong cuốn Hồ Chí Minh và văn hóa Việt Nam  1990 Xác định phép tu từ nổi bật được sử dụng trong đoạn văn Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga Và Người đã làm nhiều nghề,52
61,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh  Lê Anh Trà  in trong cuốn Hồ Chí Minh và văn hóa Việt Nam  1990 Qua đoạn trích trên em học tập được những gì từ cách tiếp thu văn hóa các nước của Bác,45
62,Tác giả của bài Phong cách Hồ Chí Minh là ai,5
63,Phong cách của Hồ Chí Minh là sự kết hợp giữa,4
64,Vì sao Hồ Chủ tịch lại có vốn văn hóa sâu rộng,3
65,Văn bản này thuộc thể loại nào,3
66,Lối sống rất bình dị rất Việt Nam rất phương Đông của Bác được thể hiện như thế nào,5
67,Lối sống của Bác là sự kết hợp giữa giản dị và thanh cao vì sao,5
68,Trong quá trình tiếp thu tinh hoa văn hóa nước ngoài Người tiếp thu một cách có chọn lọc không ảnh hưởng thụ động biết tiếp thu cái hay cái đẹp phê phán hạn chế tiêu cực đúng hay sai,14
69,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,5
70,Trong bài viết tác giả cho rằng Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống  Theo em cụm từ quan niệm thẩm mĩ là gì,5
71,Trong bài viết để làm nổi bật vẻ đẹp của phong cách Hồ Chí Minh tác giả không sử dụng biện pháp nghệ thuật nào,6
72,Trong các từ sau từ nào không phải là từ Hán Việt,5
73,Trong đoạn văn sau tác giả sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là một lối sống thanh cao một cách di dưỡng tinh thần một quan niệm về thẩm mĩ cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,14
74,Nhận định nào không phải nguyên nhân của các trường hợp không tuân thủ phương châm hội thoại,5
75,Các câu tục ngữ sau phù hợp với phương châm hội thoại nào trong giao tiếp 1 Nói có sách mách có chứng 2 Biết thưa thì thốt 3 Không biết dựa cột mà nghe,7
76,Nói giảm nói tránh là phép tu từ liên quan đến phương châm hội thoại nào,7
77,Xác định phương châm hội thoại của câu tục ngữ Lời nói chẳng mất tiền mua Lựa lời mà nói cho vừa lòng nhau,6
78,Câu Cô ấy nhìn tôi chằm chằm bằng đôi mắt vi phạm phương châm nào,6
79,Phương châm quan hệ nào được thể hiện trong đoạn trích sau  Về đến nhà A Phủ lẳng vai ném nửa con bò xuống gốc đào trước cửa Pá Tra bước ra hỏi  Mất mấy con bò A Phủ trả lời tự nhiên  Tôi về lấy súng thế nào cũng bắn được Con hổ này to lắm,8
80,Đọc truyện cười sau và trả lời câu hỏi HỎI THĂM SƯ Một anh học trò gặp một nhà sư dọc đường  anh thân mật hỏi thăm  A Di Đà Phật Sư ông vẫn khỏe chứ Được mấy cháu rồi Sư đáp  Đã tu hành thì làm gì có vợ mà hỏi mấy con  Thế sư ông già có chết không  Ai già lại chẳng chết  Thế sau này lấy đâu ra sư con Truyện cười dân gian Việt Nam,10
81,Để không vi phạm các phương châm hội thoại cần làm gì,3
84,Phương châm về lượng là gì,3
85,Thế nào là phương châm về chất,3
86,Phương châm quan hệ là gì,3
87,Câu thành ngữ nói nhăng nói cuội phản ánh phương châm hội thoại nào,5
88,Câu thành ngữ ăn ốc nói mò liên quan tới phương châm hội thoại nào,5
89,Thành ngữ nói đơm nói đặt liên quan tới phương châm hội thoại,6
90,Thế nào là phương châm về lượng,3
91,Thế nào là phương châm về chất,3
99,Thế nào là phương châm về chất,3
100,Phương châm quan hệ là gì,3
101,Câu thành ngữ nói nhăng nói cuội phản ánh phương châm hội thoại nào,5
102,Thành ngữ nói đơm nói đặt liên quan tới phương châm hội thoại,6
103,Xác định phương châm hội thoại của câu tục ngữ Lời nói chẳng mất tiền mua Lựa lời mà nói cho vừa lòng nhau,6
104,Câu Cô ấy nhìn tôi chằm chằm bằng đôi mắt vi phạm phương châm nào,6
105,Phương châm hội thoại nào được thể hiện trong đoạn trích sau  Về đến nhà A Phủ lẳng vai ném nửa con bò xuống gốc đào trước cửa Pá Tra bước ra hỏi  Mất mấy con bò A Phủ trả lời tự nhiên  Tôi về lấy súng thế nào cũng bắn được Con hổ này to lắm,8
106,Câu trả lời trong đoạn hội thoại sau vi phạm phương châm hội thoại nào Lan hỏi Bình  Cậu có biết trường đại học Sư phạm Hà Nội ở đâu không  Thì ở Hà Nội chứ ở đâu,6
107,Các phương châm hội thoại là những quy định bắt buộc trong mọi tình huống giao tiếp đúng hay sai,6
108,Nhận định nào không phải nguyên nhân của các trường hợp không tuân thủ phương châm hội thoại,5
109,Khi nào cần thuyết minh sự vật một cách hình tượng bóng bẩy,6
110,Đoạn văn thuyết minh sau đây có sử dụng kết hợp biện pháp nghệ thuật nào Lan không chỉ đẹp về hoa mà còn đẹp về lá Lan cành giao có lá hình trụ giống cây cành giao Lan chân rết có lá ngắn nhọn dẹt xếp thành hai dãy đều đặn như chân rết Có thứ gốc lá phồng lên thành củ gọi là lan quả quả táo Lan gấm thì mặt lá mượt như nhung lại điểm thêm những vân vàng óng như kim tuyến,25
